iso_code,continent,location,date,total_cases,total_deaths,total_tests,tests_per_case,total_vaccinations,people_fully_vaccinated,total_vaccinations_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,total_deaths_per_100k
TGO,Africa,Togo,2021-02-01,5092,79,208891,16.5,NA,NA,NA,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,0.9,14.2,10.475,0.7,61.04,0.503,0.9542518381729
TTO,North America,Trinidad and Tobago,2021-02-01,7566,134,85462,60.5,NA,NA,NA,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,NA,NA,89.443,3,73.51,0.784,9.574909735039382
TUN,Africa,Tunisia,2021-02-01,210045,6802,NA,NA,NA,NA,NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,1.1,65.8,78.687,2.3,76.7,0.735,57.55326045735635
TUR,Asia,Turkey,2021-02-01,2485182,26117,29773125,22.5,2136299,NA,2.53,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,14.1,41.1,NA,2.81,77.69,0.791,30.966669337236088
UGA,Africa,Uganda,2021-02-01,39606,325,833534,32,NA,NA,NA,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,3.4,16.7,21.222,0.5,63.37,0.516,0.7105222885376358
UKR,Europe,Ukraine,2021-02-01,1263833,23931,NA,5.1,NA,NA,NA,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,13.5,47.4,NA,8.8,72.06,0.751,54.719741790318096
ARE,Asia,United Arab Emirates,2021-02-01,306339,859,25892292,48.2,3440777,NA,34.79,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,1.2,37.4,NA,1.2,77.97,0.863,8.685189678880532
GBR,Europe,United Kingdom,2021-02-01,3846851,106774,71011933,27.5,10143511,NA,14.94,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,20,24.7,NA,2.54,81.32,0.922,157.28426142154427
USA,North America,United States,2021-02-01,26321120,443355,299750733,NA,34346781,NA,10.27,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,19.1,24.6,NA,2.77,78.86,0.924,133.94303762169008
URY,South America,Uruguay,2021-02-01,42128,444,852123,11.3,NA,NA,NA,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,14,19.9,NA,2.8,77.91,0.804,12.78166073499731
UZB,Asia,Uzbekistan,2021-02-01,78755,621,NA,NA,NA,NA,NA,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,1.3,24.7,NA,4,71.72,0.71,1.8554372932558083
VUT,Oceania,Vanuatu,2021-02-01,1,NA,NA,NA,NA,NA,NA,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,2.8,34.5,25.209,NA,70.47,0.603,NA
VAT,Europe,Vatican,2021-02-01,27,NA,NA,NA,NA,NA,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA,NA
VEN,South America,Venezuela,2021-02-01,127346,1196,NA,NA,NA,NA,NA,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,NA,NA,NA,0.8,72.06,0.761,4.205944568112266
VNM,Asia,Vietnam,2021-02-01,1850,35,NA,NA,NA,NA,NA,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,1,45.9,85.847,2.6,75.4,0.694,0.0359569647731568
YEM,Asia,Yemen,2021-02-01,2122,615,NA,NA,NA,NA,NA,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,7.6,29.2,49.542,0.7,66.12,0.452,2.0619615765697863
ZMB,Africa,Zambia,2021-02-01,55042,780,917429,8.3,NA,NA,NA,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.1,24.7,13.938,2,63.89,0.588,4.242829998070056
ZWE,Africa,Zimbabwe,2021-02-01,33548,1234,320693,11.2,NA,NA,NA,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.6,30.7,36.791,1.7,61.49,0.535,8.302536909452627
