iso_code,continent,location,date,total_cases,total_deaths,total_tests,tests_per_case,total_vaccinations,people_fully_vaccinated,total_vaccinations_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,total_deaths_per_100k
IND,Asia,India,2021-02-01,10766245,154486,197092635,53.2,3950156,NA,0.29,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,1.9,20.6,59.55,0.53,69.66,0.64,11.194602109905615
IDN,Asia,Indonesia,2021-02-01,1089308,30277,6190345,3.4,574938,NA,0.21,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,2.8,76.1,64.204,1.04,71.72,0.694,11.069245094558031
IRN,Asia,Iran,2021-02-01,1424596,58038,9340259,8.4,NA,NA,NA,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,0.8,21.1,NA,1.5,76.68,0.798,69.09865402636814
IRQ,Asia,Iraq,2021-02-01,620620,13057,5661047,46.9,NA,NA,NA,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,NA,NA,94.576,1.4,70.6,0.685,32.46192809035281
IRL,Europe,Ireland,2021-02-01,197553,3317,3095788,15.9,NA,NA,NA,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,23,25.7,NA,2.96,82.3,0.938,67.17571969356368
ISR,Asia,Israel,2021-02-01,652246,4816,11273042,12.8,5001808,NA,57.79,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,15.4,35.4,NA,2.99,82.97,0.903,55.640658394431966
ITA,Europe,Italy,2021-02-01,2560957,88845,32809145,20.4,2063615,NA,3.41,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,19.8,27.8,NA,3.18,83.51,0.88,146.94395280275018
JAM,North America,Jamaica,2021-02-01,15778,352,NA,9.6,NA,NA,NA,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,5.3,28.6,66.425,1.7,74.47,0.732,11.887229367129988
JPN,Asia,Japan,2021-02-01,391956,5833,6437467,18.4,NA,NA,NA,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,11.2,33.7,NA,13.05,84.63,0.909,4.611925485769059
JOR,Asia,Jordan,2021-02-01,328062,4326,3890185,22.9,NA,NA,NA,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,NA,NA,NA,1.4,74.53,0.735,42.39871255319441
KAZ,Asia,Kazakhstan,2021-02-01,237029,3046,NA,NA,NA,NA,NA,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7,43.1,98.999,6.7,73.6,0.8,16.222226826035044
KEN,Africa,Kenya,2021-02-01,100856,1766,NA,36.1,NA,NA,NA,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,1.2,20.4,24.651,1.4,66.7,0.59,3.284279903963639
OWID_KOS,Europe,Kosovo,2021-02-01,60218,1498,NA,NA,NA,NA,NA,1932774,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,77.50518167152498
KWT,Asia,Kuwait,2021-02-01,165843,959,1538262,16.5,NA,NA,NA,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,2.7,37,NA,2,75.49,0.803,22.456055559887538
KGZ,Asia,Kyrgyzstan,2021-02-01,84588,1412,NA,NA,NA,NA,NA,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,3.6,50.5,89.22,4.5,71.45,0.672,21.642530085339313
LAO,Asia,Laos,2021-02-01,44,NA,NA,NA,NA,NA,NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,7.3,51.2,49.839,1.5,67.92,0.601,NA
LVA,Europe,Latvia,2021-02-01,66652,1202,1177765,12.3,24953,NA,1.32,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,25.6,51,NA,5.57,75.29,0.847,63.72594239641353
LBN,Asia,Lebanon,2021-02-01,303072,3145,NA,NA,NA,NA,NA,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,26.9,40.7,NA,2.9,78.93,0.757,46.07760200731323
LSO,Africa,Lesotho,2021-02-01,8900,172,NA,NA,NA,NA,NA,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,0.4,53.9,2.117,NA,54.33,0.52,8.028934037638896
LBR,Africa,Liberia,2021-02-01,1944,84,NA,NA,NA,NA,NA,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,1.5,18.1,1.188,0.8,64.1,0.435,1.6608415286306342
LBY,Africa,Libya,2021-02-01,119402,1883,NA,NA,NA,NA,NA,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,NA,NA,NA,3.7,72.91,0.706,27.40389100324292
LIE,Europe,Liechtenstein,2021-02-01,2497,52,NA,NA,NA,NA,NA,38137,237.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397,82.49,0.916,136.35052573616173
LTU,Europe,Lithuania,2021-02-01,182898,2830,1939884,10.5,96648,NA,3.55,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,21.3,38,NA,6.56,75.93,0.858,103.95655717922882
LUX,Europe,Luxembourg,2021-02-01,50733,584,1908236,53.1,13241,NA,2.12,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,20.9,26,NA,4.51,82.25,0.904,93.29431160300075
MDG,Africa,Madagascar,2021-02-01,19065,281,NA,NA,NA,NA,NA,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,NA,NA,50.54,0.2,67.04,0.519,1.0147694456458969
MWI,Africa,Malawi,2021-02-01,24365,712,144185,3.6,NA,NA,NA,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,4.4,24.7,8.704,1.3,64.26,0.477,3.7219115256674673
MYS,Asia,Malaysia,2021-02-01,219173,770,4870589,12.1,NA,NA,NA,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,1,42.4,NA,1.9,76.16,0.802,2.379039880061786
MDV,Asia,Maldives,2021-02-01,16056,52,408278,24.6,36,NA,0.01,540542,1454.433,30.6,4.12,2.875,15183.616,NA,164.905,2.1,55,95.803,NA,78.92,0.717,9.619974026070128
MLI,Africa,Mali,2021-02-01,8100,330,NA,NA,NA,NA,NA,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,1.6,23,52.232,0.1,59.31,0.427,1.6295625157956457
MLT,Europe,Malta,2021-02-01,18027,269,NA,NA,27759,NA,6.29,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,20.9,30.2,NA,4.485,82.53,0.878,60.92327065106366
MHL,Oceania,Marshall Islands,2021-02-01,4,NA,NA,NA,NA,NA,NA,59194,295.15,NA,NA,NA,3819.202,NA,557.793,NA,NA,82.502,2.7,73.7,0.708,NA
MRT,Africa,Mauritania,2021-02-01,16662,422,NA,NA,NA,NA,NA,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,NA,NA,15.95,NA,64.92,0.52,9.075932433769351
MUS,Africa,Mauritius,2021-02-01,582,10,NA,NA,NA,NA,NA,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,3.2,40.7,NA,3.4,74.99,0.79,0.7863075547643554
MEX,North America,Mexico,2021-02-01,1869708,159100,4329774,2.8,675202,NA,0.52,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,6.9,21.4,87.847,1.38,75.05,0.774,123.39765986382064
FSM,Oceania,Micronesia (country),2021-02-01,1,NA,NA,NA,NA,NA,NA,115021,150.777,23,4.81,2.392,3299.464,16,454.343,NA,NA,NA,NA,67.88,0.627,NA
MDA,Europe,Moldova,2021-02-01,160086,3446,NA,NA,NA,NA,NA,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.9,44.6,86.979,5.8,71.9,0.7,85.42468039493669
MCO,Europe,Monaco,2021-02-01,1499,14,NA,NA,NA,NA,NA,39244,19347.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,86.75,NA,35.67424319641219
MNG,Asia,Mongolia,2021-02-01,1832,2,1041607,477,NA,NA,NA,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,5.5,46.5,71.18,7,69.87,0.741,0.061007378232323425
MNE,Europe,Montenegro,2021-02-01,61972,811,NA,NA,NA,NA,NA,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,44,47.9,NA,3.861,76.88,0.814,129.12737914409723
MAR,Africa,Morocco,2021-02-01,471438,8287,4909803,16.9,200081,NA,0.54,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,0.8,47.1,NA,1.1,76.68,0.667,22.451570631904293
MOZ,Africa,Mozambique,2021-02-01,39460,386,347710,3.3,NA,NA,NA,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,5.1,29.1,12.227,0.7,60.85,0.437,1.234985211372038
MMR,Asia,Myanmar,2021-02-01,140354,3138,2399366,46.9,NA,NA,NA,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,6.3,35.2,79.287,0.9,67.13,0.578,5.767344018983053
NAM,Africa,Namibia,2021-02-01,34168,353,267864,7.6,NA,NA,NA,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,9.7,34.2,44.6,NA,63.71,0.647,13.892627698042753
NPL,Asia,Nepal,2021-02-01,271118,2029,2075152,20.3,113175,NA,0.39,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,9.5,37.8,47.782,0.3,70.78,0.574,6.9637003476839325
NLD,Europe,Netherlands,2021-02-01,995300,14135,NA,NA,248055,NA,1.45,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,24.4,27.3,NA,3.32,82.28,0.931,82.49258690157785
NZL,Oceania,New Zealand,2021-02-01,2307,25,1535292,2669,NA,NA,NA,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,14.8,17.2,NA,2.61,82.29,0.917,0.51843202101599
NIC,North America,Nicaragua,2021-02-01,6253,169,NA,NA,NA,NA,NA,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,NA,NA,NA,0.9,74.48,0.658,2.5511151392229574
NER,Africa,Niger,2021-02-01,4537,161,NA,NA,NA,NA,NA,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,0.1,15.4,8.978,0.3,62.42,0.354,0.66510687399934465
NGA,Africa,Nigeria,2021-02-01,131918,1607,NA,NA,NA,NA,NA,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,0.6,10.8,41.949,NA,54.69,0.532,0.7795688462303945
MKD,Europe,North Macedonia,2021-02-01,92753,2866,459218,6.8,NA,NA,NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,NA,NA,NA,4.28,75.8,0.757,137.56491854582458
NOR,Europe,Norway,2021-02-01,63262,567,3430997,60.3,127608,NA,2.35,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,19.6,20.7,NA,3.6,82.4,0.953,10.458857951738734
OMN,Asia,Oman,2021-02-01,134524,1532,NA,NA,NA,NA,NA,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,0.5,15.6,97.4,1.6,77.86,0.821,30.000262404383953
PAK,Asia,Pakistan,2021-02-01,547648,11746,7966981,24.4,NA,NA,NA,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,2.8,36.7,59.607,0.6,67.27,0.562,5.317522770856177
PSE,Asia,Palestine,2021-02-01,159443,1840,NA,7.9,NA,NA,NA,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,NA,NA,NA,NA,74.05,0.686,36.06841708262961
PAN,North America,Panama,2021-02-01,321103,5296,1682222,7.5,NA,NA,NA,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,2.4,9.9,NA,2.3,78.51,0.789,122.74124587926859
PNG,Oceania,Papua New Guinea,2021-02-01,867,9,NA,NA,NA,NA,NA,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,23.5,48.8,NA,NA,64.5,0.544,0.10059207376930906
PRY,South America,Paraguay,2021-02-01,133781,2733,655988,4.2,NA,NA,NA,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,5,21.6,79.602,1.3,74.25,0.702,38.317399295902014
PER,South America,Peru,2021-02-01,1138239,41026,NA,NA,NA,NA,NA,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,4.8,NA,NA,1.6,76.74,0.75,124.42736751833671
PHL,Asia,Philippines,2021-02-01,527272,10807,7441098,20.2,NA,NA,NA,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.8,40.8,78.463,1,71.23,0.699,9.862103482549017
POL,Europe,Poland,2021-02-01,1515889,37222,8376500,7.4,1231716,NA,3.25,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,23.3,33.1,NA,6.62,78.73,0.865,98.34964060845088
PRT,Europe,Portugal,2021-02-01,726321,12757,7365973,4.9,338566,NA,3.32,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,16.3,30,NA,3.39,82.05,0.847,125.10901803886293
QAT,Asia,Qatar,2021-02-01,151720,249,1393630,14.8,NA,NA,NA,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,0.8,26.9,NA,1.2,80.23,0.856,8.64265235711856
ROU,Europe,Romania,2021-02-01,730056,18402,5449538,8.2,721184,NA,3.75,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,22.9,37.1,NA,6.892,76.05,0.811,95.65601510618586
RUS,Europe,Russia,2021-02-01,3825739,72456,102537361,19.8,NA,NA,NA,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,23.4,58.3,NA,8.05,72.58,0.816,49.64968520800365
RWA,Africa,Rwanda,2021-02-01,15459,198,890156,27.6,NA,NA,NA,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.7,21,4.617,NA,69.02,0.524,1.5286967651618346
KNA,North America,Saint Kitts and Nevis,2021-02-01,38,NA,NA,NA,NA,NA,NA,53192,212.865,NA,NA,NA,24654.385,NA,NA,NA,NA,NA,2.3,76.23,0.778,NA
LCA,North America,Saint Lucia,2021-02-01,1411,15,NA,NA,NA,NA,NA,183629,293.187,34.9,9.721,6.405,12951.839,NA,204.62,NA,NA,87.202,1.3,76.2,0.747,8.16864438623529
